designer,show,look_number,image_url,style_tags,items_json
Chanel,Fall 2026 Ready-to-Wear,11,"https://assets.vogue.com/photos/69af392e54ce5a87b485816a/master/w_1024,c_limit/00011-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,Old Money,Soft Tailoring","[{""category"": ""Jacket/Blazer"", ""materials"": [""Bouclé"", ""Tweed""], ""pattern"": ""Solid"", ""silhouette"": [""Straight"", ""Oversized""], ""construction"": [""Patch Pockets"", ""Statement Closure""], ""decoration"": [""Contrast Stitching""]}, {""category"": ""Skirt"", ""materials"": [""Bouclé"", ""Tweed""], ""pattern"": ""Solid"", ""silhouette"": [""A-line""], ""construction"": [], ""decoration"": [""Contrast Stitching""]}, {""category"": ""Top/Blouse"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted""], ""construction"": [""Shirt Collar"", ""Statement Closure""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Other"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Suede""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,12,"https://assets.vogue.com/photos/69af392e442f0872a218a705/master/w_1024,c_limit/00012-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Loud Luxury,Romantic","[{""category"": ""Jacket/Blazer"", ""materials"": [""Bouclé""], ""pattern"": ""Floral"", ""silhouette"": [""Fitted/Waisted"", ""Cropped""], ""construction"": [""Statement Closure""], ""decoration"": [""Lace Trim""]}, {""category"": ""Top/Blouse"", ""materials"": [""Cotton""], ""pattern"": ""Solid"", ""silhouette"": [""Relaxed""], ""construction"": [""Shirt Collar""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Shorts"", ""materials"": [""Bouclé""], ""pattern"": ""Floral"", ""silhouette"": [""Fitted/Waisted"", ""Cropped""], ""construction"": [], ""decoration"": [""Lace Trim""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,13,"https://assets.vogue.com/photos/69af3930b134a6d2889593f3/master/w_1024,c_limit/00013-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","New Femininity,Soft Tailoring,Loud Luxury","[{""category"": ""Jacket/Blazer"", ""materials"": [""Satin""], ""pattern"": ""Solid"", ""silhouette"": [""Relaxed"", ""Oversized""], ""construction"": [""Shirt Collar"", ""Dropped Shoulder""], ""decoration"": [""Bows""]}, {""category"": ""Dress"", ""materials"": [""Satin""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted"", ""Column""], ""construction"": [""V-Neck"", ""Draping"", ""Asymmetry""], ""decoration"": []}, {""category"": ""Skirt"", ""materials"": [""Satin""], ""pattern"": ""Solid"", ""silhouette"": [""A-line""], ""construction"": [""Pleats""], ""decoration"": []}, {""category"": ""Belt"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Suede""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,14,"https://assets.vogue.com/photos/69af39309b293623b63e1520/master/w_1024,c_limit/00014-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,Soft Tailoring,New Classic","[{""category"": ""Jacket/Blazer"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted"", ""Shoulder Emphasis""], ""construction"": [""Statement Closure""], ""decoration"": [""Statement Buttons"", ""Ruffles""]}, {""category"": ""Dress"", ""materials"": [""Textured Knit""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted"", ""Column""], ""construction"": [""V-Neck"", ""Slits""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,15,"https://assets.vogue.com/photos/69af39310df8f3116974976c/master/w_1024,c_limit/00015-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Power Dressing,Old Money,Quiet Luxury","[{""category"": ""Jacket/Blazer"", ""materials"": [""Tweed""], ""pattern"": ""Houndstooth"", ""silhouette"": [""Fitted/Waisted"", ""Cropped""], ""construction"": [""Patch Pockets"", ""Statement Closure""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Shirt"", ""materials"": [""Cotton""], ""pattern"": ""Solid"", ""silhouette"": [""Straight""], ""construction"": [""Shirt Collar""], ""decoration"": [""Statement Buttons""]}, {""category"": ""Shorts"", ""materials"": [""Tweed""], ""pattern"": ""Houndstooth"", ""silhouette"": [""Straight"", ""High Rise""], ""construction"": [], ""decoration"": [""Statement Buttons""]}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Other"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,16,"https://assets.vogue.com/photos/69af3933b134a6d2889593fa/master/w_1024,c_limit/00016-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Power Dressing,Old Money,Quiet Luxury","[{""category"": ""Jacket/Blazer"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Checks/Plaid"", ""silhouette"": [""Straight"", ""Oversized""], ""construction"": [""Shirt Collar""], ""decoration"": [""Statement Buttons"", ""Contrast Stitching""]}, {""category"": ""Top/Blouse"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Straight""], ""construction"": [""Shirt Collar""], ""decoration"": []}, {""category"": ""Pants/Trousers"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Checks/Plaid"", ""silhouette"": [""Straight"", ""High Rise""], ""construction"": [], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,17,"https://assets.vogue.com/photos/69af3933f04041898cdeada8/master/w_1024,c_limit/00017-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Femininity,Resort","[{""category"": ""Gown/Evening"", ""materials"": [""Satin"", ""Chiffon""], ""pattern"": ""Floral"", ""silhouette"": [""Relaxed"", ""Elongated""], ""construction"": [""V-Neck"", ""Asymmetry"", ""Draping""], ""decoration"": [""Lace Trim""]}, {""category"": ""Pants/Trousers"", ""materials"": [""Textured Knit""], ""pattern"": ""Solid"", ""silhouette"": [""Cropped"", ""Slim Leg""], ""construction"": [], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather"", ""Metallic Fabric""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware"", ""Sequins""]}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,18,"https://assets.vogue.com/photos/69af39330df8f31169749776/master/w_1024,c_limit/00018-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Loud Luxury,Romantic,New Femininity","[{""category"": ""Top/Blouse"", ""materials"": [""Lace"", ""Satin""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted""], ""construction"": [""V-Neck"", ""Puff Sleeves""], ""decoration"": [""Lace Trim"", ""Embroidery""]}, {""category"": ""Gown/Evening"", ""materials"": [""Satin""], ""pattern"": ""Solid"", ""silhouette"": [""Elongated""], ""construction"": [""Draping"", ""Asymmetry""], ""decoration"": []}, {""category"": ""Skirt"", ""materials"": [""Satin"", ""Lace""], ""pattern"": ""Floral"", ""silhouette"": [""A-line""], ""construction"": [""Asymmetry""], ""decoration"": [""Lace Trim"", ""Embroidery""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,19,"https://assets.vogue.com/photos/69af3936c80d405defdf1d0f/master/w_1024,c_limit/00019-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,Soft Tailoring,New Classic","[{""category"": ""Jacket/Blazer"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted"", ""Cropped""], ""construction"": [""Patch Pockets"", ""Statement Closure"", ""Stand Collar""], ""decoration"": [""Statement Buttons"", ""Contrast Stitching""]}, {""category"": ""Top/Blouse"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted""], ""construction"": [""Shirt Collar"", ""Extended Cuffs""], ""decoration"": [""Contrast Stitching""]}, {""category"": ""Pants/Trousers"", ""materials"": [""Suiting Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted"", ""Straight""], ""construction"": [], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,20,"https://assets.vogue.com/photos/69af39367a30d028e52085a9/master/w_1024,c_limit/00020-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Romantic,Loud Luxury,New Femininity","[{""category"": ""Gown/Evening"", ""materials"": [""Lace"", ""Chiffon""], ""pattern"": ""Floral"", ""silhouette"": [""Fitted/Waisted"", ""A-line""], ""construction"": [""V-Neck"", ""Draping"", ""Asymmetry""], ""decoration"": [""Lace Trim"", ""Embroidery"", ""Appliqué""]}, {""category"": ""Skirt"", ""materials"": [""Chiffon""], ""pattern"": ""Solid"", ""silhouette"": [""A-line"", ""Elongated""], ""construction"": [""Asymmetry"", ""Draping""], ""decoration"": []}, {""category"": ""Shoes/Boots"", ""materials"": [""Metallic Fabric"", ""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,21,"https://assets.vogue.com/photos/69af393612ea888efe5c7aa9/master/w_1024,c_limit/00021-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Femininity,Artisanal/Craft","[{""category"": ""Dress"", ""materials"": [""Textured Knit"", ""Artisanal Texture Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted"", ""Column""], ""construction"": [""High Neck"", ""Layered Details""], ""decoration"": [""Ruffles"", ""Textured Inserts""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Satin""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Bag"", ""materials"": [""Leather/Faux Leather""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
Chanel,Fall 2026 Ready-to-Wear,22,"https://assets.vogue.com/photos/69af393823c91e7cf4df3be9/master/w_1024,c_limit/00022-chanel-fall-2026-ready-to-wear-credit-gorunway.jpg","Quiet Luxury,New Femininity,Artisanal/Craft","[{""category"": ""Jacket/Blazer"", ""materials"": [""Textured Knit"", ""Artisanal Texture Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Relaxed"", ""Cropped""], ""construction"": [""Patch Pockets"", ""Statement Closure""], ""decoration"": [""Statement Buttons"", ""Fringe"", ""Lace Trim""]}, {""category"": ""Top/Blouse"", ""materials"": [""Lace"", ""Mesh""], ""pattern"": ""Solid"", ""silhouette"": [""Fitted/Waisted""], ""construction"": [""High Neck""], ""decoration"": [""Lace Trim"", ""Perforation""]}, {""category"": ""Skirt"", ""materials"": [""Textured Knit"", ""Artisanal Texture Fabric""], ""pattern"": ""Solid"", ""silhouette"": [""Column"", ""High Rise""], ""construction"": [], ""decoration"": [""Fringe""]}, {""category"": ""Shoes/Boots"", ""materials"": [""Metallic Fabric"", ""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": [""Metal Hardware""]}, {""category"": ""Jewelry/Accessory"", ""materials"": [""Other""], ""pattern"": ""Solid"", ""silhouette"": [], ""construction"": [], ""decoration"": []}]"
